wv,spd
380,1.23692E-01
385,1.18156E-01
390,1.35983E-01
395,1.35993E-01
400,1.95651E-01
405,2.07620E-01
410,2.19490E-01
415,2.27425E-01
420,2.30201E-01
425,2.26326E-01
430,2.15068E-01
435,2.41277E-01
440,2.54382E-01
445,2.70717E-01
450,2.87481E-01
455,2.89683E-01
460,2.97550E-01
465,2.96752E-01
470,2.95713E-01
475,3.03525E-01
480,3.05976E-01
485,2.86209E-01
490,2.90863E-01
495,2.98594E-01
500,2.89922E-01
505,2.90942E-01
510,2.94023E-01
515,2.79498E-01
520,2.79632E-01
525,2.84542E-01
530,2.89053E-01
535,2.89459E-01
540,2.82580E-01
545,2.82896E-01
550,2.84262E-01
555,2.82734E-01
560,2.74717E-01
565,2.70863E-01
570,2.65456E-01
575,2.63213E-01
580,2.67166E-01
585,2.69521E-01
590,2.55945E-01
595,2.59277E-01
600,2.55900E-01
605,2.58717E-01
610,2.58169E-01
615,2.55773E-01
620,2.59044E-01
625,2.51497E-01
630,2.46421E-01
635,2.53237E-01
640,2.54364E-01
645,2.52115E-01
650,2.49108E-01
655,2.40334E-01
660,2.53829E-01
665,2.59776E-01
670,2.59538E-01
675,2.57813E-01
680,2.56222E-01
685,2.31493E-01
690,2.09173E-01
695,2.35534E-01
700,2.36679E-01
705,2.41359E-01
710,2.42149E-01
715,2.28544E-01
720,2.00702E-01
725,2.04938E-01
730,2.09408E-01
735,2.27615E-01
740,2.29103E-01
745,2.33118E-01
750,2.31201E-01
755,2.28261E-01
760,1.18304E-01
765,1.15714E-01
770,2.13336E-01
775,2.23693E-01
780,2.24597E-01